Degree Name,Link
Mechanical Engineering Major - Bachelor of Engineering Technology,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fengineering-computer-and-mathematical-sciences%2Fcourses%2Fbachelor-of-engineering-technology%2Fmechanical-engineering-major&auth=Vv%2FvRneP%2BaakQ0jY1gsaNA&profile=_default&rank=64&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
New Zealand Sign Language and Deaf Studies Major - Bachelor of Arts,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-arts%2Fnew-zealand-sign-language-and-deaf-studies-major&auth=4vMGENew0JeGfmJousxNEw&profile=_default&rank=65&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Master of Professional Accounting,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fbusiness%2Fcourses%2Fmaster-of-professional-accounting&auth=pMzrWxcWjqv918vrjHV%2BIg&profile=_default&rank=66&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Master of Nursing Science,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fmaster-of-nursing-science&auth=rj9Zi%2BlDAkbB1nJiFolKhA&profile=_default&rank=67&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Diploma in Education,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Feducation%2Fcourses%2Fpostgraduate-diploma-in-education&auth=FnSXCmrDOReCyCO%2FRVw3lw&profile=_default&rank=68&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Global Tourism - Bachelor of Arts (Honours),https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-arts-honours%2Finternational-tourism-management-bachelor-of-arts-honours&auth=qZH8kvDX6ZGkytsZ5SDViA&profile=_default&rank=69&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Certificate in International Tourism Management,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhospitality-tourism-and-events%2Fcourses%2Fpostgraduate-certificate-in-international-tourism-management&auth=876WxW%2BSOgl97FKk3w%2Btgg&profile=_default&rank=70&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Master of Arts,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fmaster-of-arts&auth=Wpo8FIZYvZfm%2B3pKd4QfdQ&profile=_default&rank=71&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
"Postgraduate Certificate in Sport, Exercise and Health",https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fsport-and-recreation%2Fcourses%2Fpostgraduate-certificate-in-sport%2C-exercise-and-health&auth=OJ%2B0iLV01U6i1fEVUmbf5Q&profile=_default&rank=72&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Diploma in Professional Accounting,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fbusiness%2Fcourses%2Fpostgraduate-diploma-in-professional-accounting&auth=zVfAqfWLs4FcjrZTcYCDnw&profile=_default&rank=73&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
